"ANALYSIS_ID","ANALYSIS_NAME","STRATUM_1_NAME","STRATUM_2_NAME","STRATUM_3_NAME","STRATUM_4_NAME","STRATUM_5_NAME"
0,"Source name",,,,,
1,"Number of persons",,,,,
2,"Number of persons by gender","gender_concept_id",,,,
3,"Number of persons by year of birth","year_of_birth",,,,
4,"Number of persons by race","race_concept_id",,,,
5,"Number of persons by ethnicity","ethnicity_concept_id",,,,
7,"Number of persons with invalid provider_id",,,,,
8,"Number of persons with invalid location_id",,,,,
9,"Number of persons with invalid care_site_id",,,,,
10,"Number of all persons by year of birth by gender","year_of_birth","gender_concept_id",,,
11,"Number of non-deceased persons by year of birth by gender","year_of_birth","gender_concept_id",,,
12,"Number of persons by race and ethnicity","race_concept_id","ethnicity_concept_id",,,
101,"Number of persons by age, with age at first observation period","age",,,,
102,"Number of persons by gender by age, with age at first observation period","gender_concept_id","age",,,
103,"Distribution of age at first observation period",,,,,
104,"Distribution of age at first observation period by gender","gender_concept_id",,,,
105,"Length of observation (days) of first observation period",,,,,
106,"Length of observation (days) of first observation period by gender","gender_concept_id",,,,
107,"Length of observation (days) of first observation period by age decile","age decile",,,,
108,"Number of persons by length of observation period, in 30d increments","Observation period length 30d increments",,,,
109,"Number of persons with continuous observation in each year","calendar year",,,,
110,"Number of persons with continuous observation in each month","calendar month",,,,
111,"Number of persons by observation period start month","calendar month",,,,
112,"Number of persons by observation period end month","calendar month",,,,
113,"Number of persons by number of observation periods","number of observation periods",,,,
114,"Number of persons with observation period before year-of-birth",,,,,
115,"Number of persons with observation period end < observation period start",,,,,
116,"Number of persons with at least one day of observation in each year by gender and age decile","calendar year","gender_concept_id","age decile",,
117,"Number of persons with at least one day of observation in each month","calendar month",,,,
118,"Number of observation periods with invalid person_id",,,,,
119,"Number of observation period records by period_type_concept_id","period_type_concept_id",,,,
200,"Number of persons with at least one visit occurrence, by visit_concept_id","visit_concept_id",,,,
201,"Number of visit occurrence records, by visit_concept_id","visit_concept_id",,,,
202,"Number of persons by visit occurrence start month, by visit_concept_id","visit_concept_id","calendar month",,,
203,"Number of distinct visit occurrence concepts per person",,,,,
204,"Number of persons with at least one visit occurrence, by visit_concept_id by calendar year by gender by age decile","visit_concept_id","calendar year","gender_concept_id","age decile",
206,"Distribution of age by visit_concept_id","visit_concept_id","gender_concept_id",,,
207,"Number of visit records with invalid person_id",,,,,
208,"Number of visit records outside valid observation period",,,,,
209,"Number of visit records with end date < start date",,,,,
210,"Number of visit records with invalid care_site_id",,,,,
211,"Distribution of length of stay by visit_concept_id","visit_concept_id",,,,
212,"Number of persons with at least one visit occurrence, by calendar year by gender by age decile","calendar year","gender_concept_id","age decile",,
220,"Number of visit occurrence records by visit occurrence start month","calendar month",,,,
221,"Number of persons by visit start year","calendar year",,,,
300,"Number of providers",,,,,
301,"Number of providers by specialty concept_id","specialty_concept_id",,,,
302,"Number of providers with invalid care site id",,,,,
400,"Number of persons with at least one condition occurrence, by condition_concept_id","condition_concept_id",,,,
401,"Number of condition occurrence records, by condition_concept_id","condition_concept_id",,,,
402,"Number of persons by condition occurrence start month, by condition_concept_id","condition_concept_id","calendar month",,,
403,"Number of distinct condition occurrence concepts per person",,,,,
404,"Number of persons with at least one condition occurrence, by condition_concept_id by calendar year by gender by age decile","condition_concept_id","calendar year","gender_concept_id","age decile",
405,"Number of condition occurrence records, by condition_concept_id by condition_type_concept_id","condition_concept_id","condition_type_concept_id",,,
406,"Distribution of age by condition_concept_id","condition_concept_id","gender_concept_id",,,
409,"Number of condition occurrence records with invalid person_id",,,,,
410,"Number of condition occurrence records outside valid observation period",,,,,
411,"Number of condition occurrence records with end date < start date",,,,,
412,"Number of condition occurrence records with invalid provider_id",,,,,
413,"Number of condition occurrence records with invalid visit_id",,,,,
420,"Number of condition occurrence records by condition occurrence start month","calendar month",,,,
500,"Number of persons with death, by cause_concept_id","cause_concept_id",,,,
501,"Number of records of death, by cause_concept_id","cause_concept_id",,,,
502,"Number of persons by death month","calendar month",,,,
504,"Number of persons with a death, by calendar year by gender by age decile","calendar year","gender_concept_id","age decile",,
505,"Number of death records, by death_type_concept_id","death_type_concept_id",,,,
506,"Distribution of age at death by gender","gender_concept_id",,,,
509,"Number of death records with invalid person_id",,,,,
510,"Number of death records outside valid observation period",,,,,
511,"Distribution of time from death to last condition",,,,,
512,"Distribution of time from death to last drug",,,,,
513,"Distribution of time from death to last visit",,,,,
514,"Distribution of time from death to last procedure",,,,,
515,"Distribution of time from death to last observation",,,,,
600,"Number of persons with at least one procedure occurrence, by procedure_concept_id","procedure_concept_id",,,,
601,"Number of procedure occurrence records, by procedure_concept_id","procedure_concept_id",,,,
602,"Number of persons by procedure occurrence start month, by procedure_concept_id","procedure_concept_id","calendar month",,,
603,"Number of distinct procedure occurrence concepts per person",,,,,
604,"Number of persons with at least one procedure occurrence, by procedure_concept_id by calendar year by gender by age decile","procedure_concept_id","calendar year","gender_concept_id","age decile",
605,"Number of procedure occurrence records, by procedure_concept_id by procedure_type_concept_id","procedure_concept_id","procedure_type_concept_id",,,
606,"Distribution of age by procedure_concept_id","procedure_concept_id","gender_concept_id",,,
609,"Number of procedure occurrence records with invalid person_id",,,,,
610,"Number of procedure occurrence records outside valid observation period",,,,,
612,"Number of procedure occurrence records with invalid provider_id",,,,,
613,"Number of procedure occurrence records with invalid visit_id",,,,,
620,"Number of procedure occurrence records  by procedure occurrence start month","calendar month",,,,
691,"Percentage of total persons that have at least x procedures","procedure_concept_id","procedure_person",,,
700,"Number of persons with at least one drug exposure, by drug_concept_id","drug_concept_id",,,,
701,"Number of drug exposure records, by drug_concept_id","drug_concept_id",,,,
702,"Number of persons by drug exposure start month, by drug_concept_id","drug_concept_id","calendar month",,,
703,"Number of distinct drug exposure concepts per person",,,,,
